
2023/05/09 (15:41:30) | INFO: Quitting! Runtime: 00:01:19

2023/05/09 (15:41:31) | ===> btop++ v.1.2.13
2023/05/09 (15:41:31) | INFO: Logger set to INFO
2023/05/09 (15:41:31) | INFO: Running on /dev/pts/2
2023/05/09 (15:41:47) | INFO: Quitting! Runtime: 00:00:16

2023/05/09 (15:41:48) | ===> btop++ v.1.2.13
2023/05/09 (15:41:48) | INFO: Logger set to INFO
2023/05/09 (15:41:48) | INFO: Running on /dev/pts/2
2023/05/09 (15:43:09) | INFO: Quitting! Runtime: 00:01:21

2023/05/09 (15:43:10) | ===> btop++ v.1.2.13
2023/05/09 (15:43:10) | INFO: Logger set to INFO
2023/05/09 (15:43:10) | INFO: Running on /dev/pts/2
2023/05/09 (15:43:30) | INFO: Quitting! Runtime: 00:00:20

2023/05/09 (15:43:31) | ===> btop++ v.1.2.13
2023/05/09 (15:43:31) | INFO: Logger set to INFO
2023/05/09 (15:43:31) | INFO: Running on /dev/pts/2
2023/05/09 (15:43:41) | INFO: Quitting! Runtime: 00:00:10

2023/05/09 (15:43:42) | ===> btop++ v.1.2.13
2023/05/09 (15:43:42) | INFO: Logger set to INFO
2023/05/09 (15:43:42) | INFO: Running on /dev/pts/2
2023/05/09 (15:43:52) | INFO: Quitting! Runtime: 00:00:10

2023/05/09 (15:43:53) | ===> btop++ v.1.2.13
2023/05/09 (15:43:53) | INFO: Logger set to INFO
2023/05/09 (15:43:53) | INFO: Running on /dev/pts/2
2023/05/09 (15:44:25) | INFO: Quitting! Runtime: 00:00:32

2023/05/09 (15:44:25) | ===> btop++ v.1.2.13
2023/05/09 (15:44:25) | INFO: Logger set to INFO
2023/05/09 (15:44:25) | INFO: Running on /dev/pts/2
2023/05/09 (15:45:07) | INFO: Quitting! Runtime: 00:00:42

2023/05/09 (15:45:07) | ===> btop++ v.1.2.13
2023/05/09 (15:45:07) | INFO: Logger set to INFO
2023/05/09 (15:45:07) | INFO: Running on /dev/pts/2
2023/05/09 (15:45:24) | INFO: Quitting! Runtime: 00:00:17

